GUID,GEOGDESC,Male,Female,Total
2AE19629182513A3E055000000000001,Ardmulchan,303,1454,4893
2AE19629183D13A3E055000000000001,Bective,21,2245,2357
2AE19629185413A3E055000000000001,Castletown,424,2768,2802
2AE19629187813A3E055000000000001,Domhnach Phádraig,667,1838,4345
2AE19629181113A3E055000000000001,Kentstown,12,314,4659
2AE19629189213A3E055000000000001,Navan Rural,872,1508,1091
2AE1962918A913A3E055000000000001,Painestown,7,2674,1276
2AE1962918B613A3E055000000000001,Rathkenny,672,4,2492
2AE19629181C13A3E055000000000001,Slane,257,3769,2492
2AE19629182713A3E055000000000001,Stackallan,823,378,3027
2AE19629181F13A3E055000000000001,Tara,335,1647,2814
2AE19629186113A3E055000000000001,Crossakeel,282,2468,3825
2AE19629186B13A3E055000000000001,Crosskeys,453,3868,2873
2AE19629183E13A3E055000000000001,Killallon,98,754,3043
2AE19629184B13A3E055000000000001,Killeagh,650,3136,1091
2AE19629187013A3E055000000000001,Knocklough,305,3696,953
2AE19629188613A3E055000000000001,Moylagh,740,3194,1964
2AE1962918A813A3E055000000000001,Oldcastle,21,1371,663
2AE19629181D13A3E055000000000001,Stonefield,428,1396,2562
2AE19629182F13A3E055000000000001,Ardnamullan,121,1845,2845
2AE19629183013A3E055000000000001,Baile Átha Buí,298,1679,2542
2AE19629183A13A3E055000000000001,Ballyboggan,246,1859,4042
2AE19629183B13A3E055000000000001,Ballyconnell,797,813,959
2AE19629184A13A3E055000000000001,Castlejordan,552,657,602
2AE19629185313A3E055000000000001,Castlerickard,724,2658,4754
2AE19629185F13A3E055000000000001,Cloghbrack,406,3927,2095
2AE19629186013A3E055000000000001,Clonmacduff,158,3302,2266
2AE19629189013A3E055000000000001,Gallow,857,3694,2190
2AE19629189C13A3E055000000000001,Galtrim,125,3390,3422
2AE1962918A713A3E055000000000001,Grennanstown,316,3826,299
2AE1962918B213A3E055000000000001,Hill of Down,634,57,264
2AE1962918B313A3E055000000000001,Innfield,118,3504,2672
2AE19629181313A3E055000000000001,Cill Bhríde,743,2582,598
2AE19629183213A3E055000000000001,Kilcooly,151,2599,4639
2AE19629183313A3E055000000000001,Kildalky,33,2171,4858
2AE19629183413A3E055000000000001,Killaconnigan,779,2666,1197
2AE19629185513A3E055000000000001,Killyon,546,1476,4055
2AE19629187113A3E055000000000001,Laracor,86,117,3305
2AE1962918B413A3E055000000000001,Rahinstown,523,291,709
2AE1962918C113A3E055000000000001,Rathmolyon,750,1767,4937
2AE1962918C013A3E055000000000001,An Ráth Mhór,20,959,4430
2AE19629181E13A3E055000000000001,Summerhill,609,774,2031
2AE19629182B13A3E055000000000001,Trim Rural,996,144,1815
2AE196291A4013A3E055000000000001,Birr Urban,522,609,4579
2AE196291A8513A3E055000000000001,Tullamore Urban,617,3140,3303
2AE196291AE913A3E055000000000001,Ballycumber,532,3579,1405
2AE196291AF513A3E055000000000001,Banagher,218,1235,1167
2AE196291A3F13A3E055000000000001,Birr Rural,626,3949,4953
2AE196291A4213A3E055000000000001,Broughal,43,2078,1889
2AE196291A5113A3E055000000000001,Cloghan,131,775,2430
2AE196291A5D13A3E055000000000001,Clonmacnoise,171,1484,2350
2AE196291A7313A3E055000000000001,Derrinboy,508,3440,2361
2AE196291A7413A3E055000000000001,Derryad,273,2009,42
2AE196291A7613A3E055000000000001,Doon,213,988,3299
2AE196291A8113A3E055000000000001,Dromoyle,949,3976,1278
2AE196291A8213A3E055000000000001,Drumcullen,596,3922,2301
2AE196291A9113A3E055000000000001,Eglish,615,896,1832
2AE196291A9B13A3E055000000000001,Ferbane,503,2671,1692
2AE196291AA413A3E055000000000001,Gallen,545,1806,170
2AE196291AB013A3E055000000000001,Hinds,64,722,1225
2AE196291AB113A3E055000000000001,Huntston,110,1785,2441
2AE196291ABA13A3E055000000000001,Kilcolman,768,3564,2305
2AE196291ABB13A3E055000000000001,Kilcormac,270,3573,1703
2AE196291AD213A3E055000000000001,Killyon,307,201,2294
2AE196291AD313A3E055000000000001,Kinnitty,755,32,4180
2AE196291AD413A3E055000000000001,Knockbarron,621,316,1909
2AE196291ADF13A3E055000000000001,Lea,77,3302,1050
2AE196291AE013A3E055000000000001,Letter,713,576,1255
2AE196291AE113A3E055000000000001,Lumcloon,467,2106,816
2AE196291AEC13A3E055000000000001,Lusmagh,207,2156,200
2AE196291AF813A3E055000000000001,Mounterin,877,324,3527
2AE196291AFA13A3E055000000000001,Moyclare,75,1635,222
2AE196291A6013A3E055000000000001,Seirkieran,376,1457,2088
2AE196291A6113A3E055000000000001,Shannonbridge,601,1311,3909
2AE196291A6213A3E055000000000001,Shannonharbour,900,2027,4621
2AE196291A6D13A3E055000000000001,Srah,500,3336,4877
2AE196291ADD13A3E055000000000001,Ballyburly,305,641,4501
2AE196291AEA13A3E055000000000001,Ballymacwilliam,428,1921,2933
2AE196291A4113A3E055000000000001,Bracknagh,4,3221,4933
2AE196291A5C13A3E055000000000001,Clonbulloge,648,2100,4872
2AE196291A5E13A3E055000000000001,Clonmore,472,557,535
2AE196291A6813A3E055000000000001,Croghan,180,1695,3288
2AE196291A8F13A3E055000000000001,Edenderry Rural,517,2141,524
2AE196291A9013A3E055000000000001,Edenderry Urban,971,155,4088
3576C59993334152E0530100007F0280,Esker / Ballaghassaan,347,1558,3263
2AE196291ADE13A3E055000000000001,Knockdrin,649,2401,3159
2AE196291AED13A3E055000000000001,Monasteroris,301,616,2062
2AE196291ADA13A3E055000000000001,Aghancon,67,629,902
2AE196291ADC13A3E055000000000001,Ballincor,668,42,3741
2AE196291AF613A3E055000000000001,Barna,413,2139,4189
2AE196291A4E13A3E055000000000001,Cangort,377,2735,3092
2AE196291A6913A3E055000000000001,Cullenwaine,554,1401,37
2AE196291A8313A3E055000000000001,Dunkerrin,49,1439,2481
2AE196291A9A13A3E055000000000001,Ettagh,553,24,4575
2AE196291AA613A3E055000000000001,Gorteen,461,2074,3088
2AE196291AF913A3E055000000000001,Mountheaton,878,3330,3521
2AE196291A5313A3E055000000000001,Roscomroe,598,2039,2957
2AE196291A6B13A3E055000000000001,Shinrone,505,1521,120
2AE196291A7713A3E055000000000001,Templeharry,156,369,1254
2AE196291A7A13A3E055000000000001,Tulla,496,1615,4307
2AE196291AE813A3E055000000000001,Ballycommon,932,3643,52
2AE196291AEB13A3E055000000000001,Ballyshear,542,1338,4597
2AE196291AF713A3E055000000000001,Bawn,888,1690,4415
2AE196291A4F13A3E055000000000001,Cappancur,767,986,121
2AE196291A5013A3E055000000000001,Clara,145,823,2240
2AE196291A5F13A3E055000000000001,Clonygowan,820,662,967
2AE196291A6A13A3E055000000000001,Daingean,781,3751,210
2AE196291A7513A3E055000000000001,Derrycooley,735,2706,1513
2AE196291A8E13A3E055000000000001,Durrow,155,634,4520
2AE196291AA513A3E055000000000001,Geashill,908,1371,2014
2AE196291AAE13A3E055000000000001,Gorteen,183,3739,1810
2AE196291AAF13A3E055000000000001,Hammerlane,143,1252,1474
2AE196291AB913A3E055000000000001,Kilclonfert,929,3133,1360
2AE196291AC613A3E055000000000001,Kilcumreragh,525,3355,1732
2AE196291AC713A3E055000000000001,Killeigh,74,2508,1841
2AE196291AC813A3E055000000000001,Killooly,366,2107,2887
2AE196291AD113A3E055000000000001,Killoughy,581,2904,4005
2AE196291AEE13A3E055000000000001,Mountbriscoe,841,211,4154
2AE196291AFB13A3E055000000000001,O'Dempsey,793,3042,3136
2AE196291A4313A3E055000000000001,Portarlington North,144,1713,1953
2AE196291A4413A3E055000000000001,Rahan,360,550,2007
2AE196291A4513A3E055000000000001,Raheenakeeran,763,343,1
2AE196291A4613A3E055000000000001,Rathfeston,893,3650,4264
2AE196291A5213A3E055000000000001,Rathrobin,660,639,687
2AE196291A5413A3E055000000000001,Screggan,45,7,4407
2AE196291A6C13A3E055000000000001,Silverbrook,266,2239,3541
2AE196291A7813A3E055000000000001,Tinamuck,441,1285,3271
2AE196291A7913A3E055000000000001,Tinnycross,125,807,3996
2AE196291A8413A3E055000000000001,Tullamore Rural,205,1761,1661
2AE196291BCB13A3E055000000000001,Athlone East Urban,578,235,1722
2AE196291BCD13A3E055000000000001,Athlone West Urban,574,2327,787
2AE196291BCC13A3E055000000000001,Athlone East Rural,556,1480,1661
2AE196291BCE13A3E055000000000001,Auburn,561,3115,3288
2AE196291AFF13A3E055000000000001,Ballybroder,792,3303,443
2AE196291B2613A3E055000000000001,Bellanalack,344,3854,3603
2AE196291B3313A3E055000000000001,Carn,536,3832,2318
2AE196291B4113A3E055000000000001,Castledaly,846,23,4856
2AE196291BB213A3E055000000000001,Glassan,442,376,1910
2AE196291B0B13A3E055000000000001,Kilcumreragh,947,640,1388
2AE196291B0D13A3E055000000000001,Killinure,527,1324,826
2AE196291B2913A3E055000000000001,Moate,18,1129,1764
2AE196291B2A13A3E055000000000001,Mount Temple,936,588,4475
2AE196291B3513A3E055000000000001,Moydrum,264,350,4242
2AE196291B3613A3E055000000000001,Muckanagh,387,2638,2153
2AE196291B8913A3E055000000000001,Tubbrit,207,3747,3128
2AE196291B9B13A3E055000000000001,Umma,616,1785,2224
2AE196291BCA13A3E055000000000001,Ardnagragh,736,3319,2113
2AE196291B0213A3E055000000000001,Ballymore,82,438,2463
2AE196291B7413A3E055000000000001,Doonis,580,585,2031
2AE196291B8313A3E055000000000001,Drumraney,304,3809,952
2AE196291B4613A3E055000000000001,Noughaval,433,956,1023
2AE196291B4F13A3E055000000000001,Piercetown,127,1361,2217
2AE196291B8813A3E055000000000001,Templepatrick,651,3099,1566
2AE196291B9C13A3E055000000000001,Winetown,291,1526,4052
2AE196291B3113A3E055000000000001,Boherquill,105,1283,3563
2AE196291B6613A3E055000000000001,Coole,94,933,617
2AE196291B6713A3E055000000000001,Coolure,454,2574,3289
2AE196291B9813A3E055000000000001,Finnea,501,158,2304
2AE196291BC313A3E055000000000001,Glore,475,2468,12
2AE196291B1113A3E055000000000001,Knockarrow,254,2912,4804
2AE196291B5C13A3E055000000000001,Rathowen,92,2489,2725
2AE196291B7713A3E055000000000001,Street,425,2473,3178
2AE196291BDB13A3E055000000000001,Ballinlough,229,3653,1070
2AE196291B0013A3E055000000000001,Ballyhealy,716,1409,1599
2AE196291B2513A3E055000000000001,Ballynaskeagh,538,1613,2418
2AE196291B3213A3E055000000000001,Bracklin,393,19,809
2AE196291B5813A3E055000000000001,Clonarney,628,854,1148
2AE196291B6513A3E055000000000001,Collinstown,676,3793,1415
2AE196291B7113A3E055000000000001,Copperalley,733,2922,4435
2AE196291B7213A3E055000000000001,Delvin,502,1357,4393
2AE196291B9713A3E055000000000001,Faughalstown,6,2847,1460
2AE196291B9913A3E055000000000001,Fore East,302,3260,2813
2AE196291BB013A3E055000000000001,Fore West,444,2851,439
2AE196291BD113A3E055000000000001,Hilltown,59,1901,942
2AE196291B0513A3E055000000000001,Kilcumny,746,3763,1575
2AE196291B1813A3E055000000000001,Killua,489,3249,2969
2AE196291B1A13A3E055000000000001,Killulagh,27,2940,4405
2AE196291B0E13A3E055000000000001,Kilpatrick,816,1036,784
2AE196291B1013A3E055000000000001,Kinturk,320,1297,1993
2AE196291B5D13A3E055000000000001,Riverdale,229,3950,764
2AE196291B6813A3E055000000000001,Rosmead,425,160,3187
2AE196291BC113A3E055000000000001,Ardnaglew,238,1946,3323
3576C599940F4152E0530100007F0280,Ballinalack / Lackan,684,772,1011
2AE196291B0113A3E055000000000001,Ballykilmore,656,1946,2853
2AE196291BDC13A3E055000000000001,Ballymorin,257,2979,3691
2AE196291B2413A3E055000000000001,Ballynagore,192,420,2373
2AE196291B2713A3E055000000000001,Belvidere,424,657,3486
2AE196291B3413A3E055000000000001,Carrick,124,3792,4540
2AE196291B4013A3E055000000000001,Castle,377,1770,2173
2AE196291B4213A3E055000000000001,Castlelost,793,3737,1401
2AE196291B4C13A3E055000000000001,Castletown,362,394,2091
2AE196291B4D13A3E055000000000001,Churchtown,539,1960,319
2AE196291B5713A3E055000000000001,Cloghan,352,2537,1185
2AE196291B5913A3E055000000000001,Clonfad,6,1808,3274
2AE196291B6413A3E055000000000001,Clonlost,248,2285,1952
2AE196291B7313A3E055000000000001,Derrymore,122,1847,3453
2AE196291B8413A3E055000000000001,Dysart,896,2607,1904
2AE196291B8513A3E055000000000001,Emper,732,1287,2098
2AE196291B8613A3E055000000000001,Enniscoffey,337,1401,4467
2AE196291BB113A3E055000000000001,Gaybrook,846,2948,4920
2AE196291BC213A3E055000000000001,Glenlough,724,2502,943
2AE196291BC413A3E055000000000001,Greenpark,714,3669,3504
2AE196291BCF13A3E055000000000001,Griffinstown,621,2386,1922
2AE196291BD013A3E055000000000001,Heathstown,338,3822,2655
2AE196291BDD13A3E055000000000001,Hopestown,489,2730,2871
2AE196291BDE13A3E055000000000001,Huntingdon,884,2829,3558
2AE196291BDF13A3E055000000000001,Jamestown,750,1303,531
2AE196291B0313A3E055000000000001,Kilbeggan,560,2481,54
2AE196291B0413A3E055000000000001,Kilbixy,791,2619,3698
2AE196291B0C13A3E055000000000001,Killare,341,2739,2913
2AE196291B1913A3E055000000000001,Killucan,293,1838,2956
2AE196291B0F13A3E055000000000001,Kinnegad,889,2019,1224
2AE196291B1B13A3E055000000000001,Knockdrin,450,2988,1013
2AE196291B1D13A3E055000000000001,Lauree,100,1205,1087
2AE196291B2813A3E055000000000001,Middleton,605,2962,2416
2AE196291BD213A3E055000000000001,Milltown,557,3835,3093
2AE196291B3713A3E055000000000001,Mullingar Rural,968,605,1766
2AE196291B9E13A3E055000000000001,Mullingar North Urban,373,1363,778
2AE196291B4313A3E055000000000001,Mullingar South Urban,474,3432,847
2AE196291B4413A3E055000000000001,Multyfarnham,876,649,4916
2AE196291B4513A3E055000000000001,Newtown,510,213,71
2AE196291B4E13A3E055000000000001,Owel,927,47,3097
2AE196291B5013A3E055000000000001,Portloman,964,2829,1489
2AE196291B5113A3E055000000000001,Raharney,229,2819,3282
2AE196291B5A13A3E055000000000001,Rahugh,994,3860,1552
2AE196291B5B13A3E055000000000001,Rathconrath,36,2556,2166
2AE196291B6913A3E055000000000001,Russellstown,850,3662,542
2AE196291B6A13A3E055000000000001,Skeagh,10,2460,3734
2AE196291B6B13A3E055000000000001,Sonna,892,1326,4201
2AE196291B7513A3E055000000000001,Stonehall,13,1434,1083
2AE196291B7613A3E055000000000001,Streamstown,205,1304,2600
2AE196291B8713A3E055000000000001,Taghmon,599,66,1129
2AE196291B9A13A3E055000000000001,Tullaghan,564,3204,1612
2AE196291B9D13A3E055000000000001,Woodland,993,3588,1496
2AE196291EB813A3E055000000000001,Enniscorthy Urban,174,2532,3453
2AE196291EAC13A3E055000000000001,New Ross Urban,51,3453,4649
2AE196291EC913A3E055000000000001,Rosbercon Urban,886,1680,2214
2AE196291E4613A3E055000000000001,Wexford No. 1 Urban,300,473,4927
2AE196291E5D13A3E055000000000001,Wexford No. 2 Urban,61,1875,3919
2AE196291E5C13A3E055000000000001,Wexford No. 3 Urban,35,1476,4073
2AE196291BD513A3E055000000000001,Ballindaggan,187,3463,2917
2AE196291B0613A3E055000000000001,Ballycarney,221,2054,2468
2AE196291B1313A3E055000000000001,Ballyhoge,266,3260,306
2AE196291B1413A3E055000000000001,Ballyhuskard,724,561,105
2AE196291E4B13A3E055000000000001,Ballymore,18,885,4435
2AE196291E5613A3E055000000000001,Ballyvaldon,362,729,3692
2AE196291E6313A3E055000000000001,Bolaboy,205,3674,2518
2AE196291E6413A3E055000000000001,Bree,17,666,3059
2AE196291E8613A3E055000000000001,Castleboro,599,463,768
2AE196291E7F13A3E055000000000001,Castledockrell,737,1855,2832
2AE196291E7C13A3E055000000000001,Castle Ellis,592,2779,3757
2AE196291E8713A3E055000000000001,Castle Talbot,238,420,232
2AE196291E9313A3E055000000000001,Clonroche,274,1132,3564
2AE196291EAB13A3E055000000000001,Edermine,764,491,1290
2AE196291EB713A3E055000000000001,Enniscorthy Rural,766,3645,4464
2AE196291EB913A3E055000000000001,Ferns,462,3621,1286
2AE196291E2C13A3E055000000000001,Kilbora,22,870,1200
2AE196291E3913A3E055000000000001,Kilcormick,645,3347,4362
2AE196291E4E13A3E055000000000001,Killann,674,1481,1896
2AE196291E7213A3E055000000000001,Kilmallock,733,3786,4077
2AE196291E6613A3E055000000000001,Killoughrum,333,1144,4782
2AE196291E8013A3E055000000000001,Kilrush,954,1414,4315
2AE196291E8B13A3E055000000000001,Kiltealy,710,3791,2137
2AE196291E9613A3E055000000000001,Marshalstown,757,3726,3653
2AE196291EA113A3E055000000000001,Moyacomb,198,440,4691
2AE196291EAF13A3E055000000000001,Newtownbarry,693,2674,1700
2AE196291ECA13A3E055000000000001,Rossard,856,576,2861
2AE196291ED813A3E055000000000001,St. Mary's,851,3212,3499
2AE196291EE813A3E055000000000001,The Harrow,478,2461,2998
2AE196291EE913A3E055000000000001,The Leap,513,3624,3311
2AE196291E2F13A3E055000000000001,Tinnacross,498,2528,3142
2AE196291E3C13A3E055000000000001,Tombrack,826,306,2736
2AE196291BB413A3E055000000000001,Ardamine,850,886,623
2AE196291E4D13A3E055000000000001,Balloughter,623,3806,3203
2AE196291BE113A3E055000000000001,Ballybeg,829,3891,930
2AE196291BE213A3E055000000000001,Ballycanew,341,803,834
2AE196291B0713A3E055000000000001,Ballyellis,377,790,1738
2AE196291B0813A3E055000000000001,Ballygarrett,516,32,792
2AE196291E4013A3E055000000000001,Ballylarkin,502,3739,3534
2AE196291E4C13A3E055000000000001,Ballynestragh,851,3898,2133
2AE196291E6F13A3E055000000000001,Cahore,233,1699,2309
2AE196291E9413A3E055000000000001,Coolgreany,103,712,3873
2AE196291E9D13A3E055000000000001,Courtown,112,3826,3836
2AE196291EC513A3E055000000000001,Ford,717,1876,4489
2AE196291ED513A3E055000000000001,Gorey Rural,101,2164,4449
2AE196291ED613A3E055000000000001,Gorey Urban,488,2468,2007
2AE196291EE513A3E055000000000001,Huntingtown,185,1022,4943
2AE196291E2E13A3E055000000000001,Kilcomb,793,3337,1208
2AE196291E4213A3E055000000000001,Kilgorman,734,504,2896
2AE196291E4F13A3E055000000000001,Killenagh,746,832,3061
2AE196291E5A13A3E055000000000001,Killincooly,950,1338,2483
2AE196291E7D13A3E055000000000001,Kilnahue,628,2671,2553
2AE196291E9513A3E055000000000001,Limerick,419,1675,2507
2AE196291E9F13A3E055000000000001,Monamolin,961,250,538
2AE196291EA013A3E055000000000001,Monaseed,514,3661,3890
2AE196291ECC13A3E055000000000001,Rossminoge,168,2543,4559
2AE196291E4413A3E055000000000001,Wells,987,1860,3893
2AE196291E5B13A3E055000000000001,Wingfield,530,2380,2781
2AE196291BB313A3E055000000000001,Adamstown,363,2182,4975
2AE196291BE013A3E055000000000001,Ballyanne,939,1206,4962
2AE196291B1213A3E055000000000001,Ballyhack,261,3973,2347
2AE196291E5813A3E055000000000001,Barrack Village,548,218,1090
2AE196291E6213A3E055000000000001,Barronstown,685,1756,902
2AE196291E7013A3E055000000000001,Carnagh,167,3173,25
2AE196291E7B13A3E055000000000001,Carrickbyrne,677,1191,4372
2AE196291E8813A3E055000000000001,Clongeen,143,816,3822
2AE196291E8913A3E055000000000001,Clonleigh,918,2790,1630
2AE196291EAA13A3E055000000000001,Dunmain,122,3767,2566
2AE196291EBA13A3E055000000000001,Fethard,291,2203,1627
2AE196291EE413A3E055000000000001,Horetown,168,1662,608
2AE196291E2B13A3E055000000000001,Inch,287,3478,1093
2AE196291E3B13A3E055000000000001,Kilgarvan,306,1964,2697
2AE196291E5913A3E055000000000001,Killesk,492,1895,4892
2AE196291E7313A3E055000000000001,Kilmokea,840,3204,3389
2AE196291EAD13A3E055000000000001,Newbawn,870,2447,1835
2AE196291EA213A3E055000000000001,New Ross Rural,871,2148,1386
2AE196291EB013A3E055000000000001,Oldcourt,824,783,2071
2AE196291EBB13A3E055000000000001,Old Ross,532,862,2424
2AE196291EBD13A3E055000000000001,Rathroe,135,2256,2695
2AE196291EC813A3E055000000000001,Rochestown,575,299,4757
2AE196291EE613A3E055000000000001,Templeludigan,474,796,1699
2AE196291EE713A3E055000000000001,Templetown,1,2374,1233
2AE196291E3013A3E055000000000001,Tintern,733,1505,1148
2AE196291E5113A3E055000000000001,Whitechurch,925,1943,1248
2AE196291E5213A3E055000000000001,Whitemoor,819,2834,1951
2AE196291BC513A3E055000000000001,Ardcavan,716,2894,1302
2AE196291BC613A3E055000000000001,Ardcolm,794,3649,362
2AE196291BD313A3E055000000000001,Artramon,783,1347,3804
2AE196291BD413A3E055000000000001,Aughwilliam,425,1515,4825
2AE196291E4113A3E055000000000001,Ballymitty,242,1893,29
2AE196291E5713A3E055000000000001,Bannow,571,352,4654
2AE196291E6E13A3E055000000000001,Bridgetown,701,1900,3811
2AE196291E7A13A3E055000000000001,Carrick,974,1201,3843
2AE196291E9E13A3E055000000000001,Drinagh,642,2300,804
2AE196291EA913A3E055000000000001,Duncormick,431,2400,76
2AE196291EC613A3E055000000000001,Forth,151,1031,166
2AE196291EC713A3E055000000000001,Glynn,404,1604,3157
2AE196291ED713A3E055000000000001,Harperstown,549,3730,1934
2AE196291EE313A3E055000000000001,Harristown,752,46,3672
2AE196291E2D13A3E055000000000001,Kilbride,175,317,4493
2AE196291E3A13A3E055000000000001,Kilcowan,26,840,3238
2AE196291E4313A3E055000000000001,Killag,79,2211,1112
2AE196291E6513A3E055000000000001,Killinick,916,2738,229
2AE196291E7113A3E055000000000001,Killurin,828,1007,1730
2AE196291E7413A3E055000000000001,Kilmore,678,1887,3458
2AE196291E7E13A3E055000000000001,Kilpatrick,704,2327,832
2AE196291E8A13A3E055000000000001,Kilscoran,680,1742,3764
2AE196291E8C13A3E055000000000001,Lady's Island,998,2463,3486
2AE196291E9713A3E055000000000001,Mayglass,814,3333,834
2AE196291EAE13A3E055000000000001,Newcastle,896,3993,4259
2AE196291EBC13A3E055000000000001,Rathaspick,222,2179,1
2AE196291ECB13A3E055000000000001,Rosslare,807,1135,2872
2AE196291ECD13A3E055000000000001,St. Helen's,677,1296,1771
2AE196291ED913A3E055000000000001,Tacumshin,4,2550,1053
2AE196291EDA13A3E055000000000001,Taghmon,415,1541,3002
2AE196291E3D13A3E055000000000001,Tomhaggard,451,1124,2028
2AE196291E4513A3E055000000000001,Wexford Rural,970,3122,1223
2AE196291E5013A3E055000000000001,Whitechurch,436,3122,2671
2AE196291E6913A3E055000000000001,Arklow No. 1 Urban,712,3165,582
2AE196291EE113A3E055000000000001,Arklow No. 2 Urban,698,3117,1113
2AE196291EE213A3E055000000000001,Bray No. 1,240,1076,3685
2AE196291EED13A3E055000000000001,Bray No. 2,530,1107,1528
2AE196291E9913A3E055000000000001,Bray No. 3,667,3835,2918
2AE196291EEE13A3E055000000000001,Rathmichael (Bray),408,683,2345
2AE196291EE013A3E055000000000001,Wicklow Urban,745,2812,2883
2AE196291E8213A3E055000000000001,Ballinguile,332,1600,1769
2AE196291E8F13A3E055000000000001,Baltinglass,844,2981,4615
2AE196291E9813A3E055000000000001,Blessington,927,2318,1572
2AE196291EA413A3E055000000000001,Burgage,98,1886,1040
2AE196291ED013A3E055000000000001,Donaghmore,224,2330,2595
2AE196291ED113A3E055000000000001,Donard,556,372,4556
2AE196291EEB13A3E055000000000001,Dunlavin,669,1014,1518
2AE196291EEC13A3E055000000000001,Eadestown,929,2901,3429
2AE196291E4813A3E055000000000001,Hartstown,406,278,3141
2AE196291E4913A3E055000000000001,Hollywood,758,3619,4333
2AE196291E4A13A3E055000000000001,Humewood,655,3172,2569
2AE196291E5313A3E055000000000001,Imael North,721,3624,3630
2AE196291E5413A3E055000000000001,Imael South,574,69,1585
2AE196291E5F13A3E055000000000001,Kilbride,772,2582,1115
2AE196291E8513A3E055000000000001,Lackan,749,1485,4783
2AE196291E9013A3E055000000000001,Lugglass,747,3140,1108
2AE196291EA813A3E055000000000001,Rathdangan,74,3269,4499
2AE196291EB513A3E055000000000001,Rathsallagh,357,3445,2664
2AE196291EC113A3E055000000000001,Stratford,848,2896,2658
2AE196291EC213A3E055000000000001,Talbotstown,728,2671,2840
2AE196291EC313A3E055000000000001,The Grange,668,1329,4137
2AE196291ED213A3E055000000000001,Tober,34,2034,659
2AE196291ED313A3E055000000000001,Togher,779,716,2823
2AE196291EDE13A3E055000000000001,Tuckmill,130,753,1616
2AE196291ECF13A3E055000000000001,Delgany,708,2738,2536
2AE196291E3213A3E055000000000001,Enniskerry,342,2516,3733
2AE196291E4713A3E055000000000001,Greystones,556,324,4714
2AE196291E7813A3E055000000000001,Kilmacanoge,152,1828,12
2AE196291EA613A3E055000000000001,Powerscourt,364,3561,3030
2AE196291E6713A3E055000000000001,Altidore,97,3550,142
2AE196291E6813A3E055000000000001,Arklow Rural,776,2709,1199
2AE196291E6A13A3E055000000000001,Aughrim,626,1220,4850
2AE196291EA513A3E055000000000001,Avoca,513,412,4074
2AE196291E6B13A3E055000000000001,Ballinaclash,645,430,2427
2AE196291E7513A3E055000000000001,Ballinacor,682,364,15
2AE196291E7613A3E055000000000001,Ballinderry,964,1708,4729
2AE196291E8313A3E055000000000001,Ballyarthur,5,2237,4781
2AE196291E8E13A3E055000000000001,Ballycullen,890,1993,4232
2AE196291EA313A3E055000000000001,Brockagh,81,1728,3784
2AE196291EB113A3E055000000000001,Calary,501,1771,1021
2AE196291EC013A3E055000000000001,Cronebane,746,615,2281
2AE196291EDB13A3E055000000000001,Dunganstown East,77,892,2357
2AE196291EDC13A3E055000000000001,Dunganstown South,269,3866,4239
2AE196291EEA13A3E055000000000001,Dunganstown West,377,3926,1967
2AE196291E3113A3E055000000000001,Ennereilly,393,3548,4195
2AE196291E3E13A3E055000000000001,Glendalough,197,114,1217
2AE196291E3F13A3E055000000000001,Glenealy,861,414,3718
2AE196291E6013A3E055000000000001,Kilbride,92,558,3598
2AE196291E6113A3E055000000000001,Kilcoole,361,3173,2392
2AE196291E6D13A3E055000000000001,Killiskey,657,3891,193
2AE196291E8413A3E055000000000001,Knockrath,117,2657,124
2AE196291E9213A3E055000000000001,Moneystown,862,524,2488
2AE196291E9A13A3E055000000000001,Newcastle Lower,462,514,616
2AE196291E9B13A3E055000000000001,Newcastle Upper,736,382,4215
2AE196291E9C13A3E055000000000001,Oldtown,683,423,3896
2AE196291EB413A3E055000000000001,Rathdrum,811,276,1705
2AE196291ED413A3E055000000000001,Togher,167,256,2446
2AE196291EDD13A3E055000000000001,Trooperstown,945,1414,1846
2AE196291EDF13A3E055000000000001,Wicklow Rural,810,1954,4885
2AE196291E5E13A3E055000000000001,Aghowle,314,2628,568
2AE196291E7713A3E055000000000001,Ballingate,861,2119,3192
2AE196291E8113A3E055000000000001,Ballinglen,816,869,1210
2AE196291E8D13A3E055000000000001,Ballybeg,600,902,4459
2AE196291EB213A3E055000000000001,Carnew,626,1706,749
2AE196291EB313A3E055000000000001,Coolattin,501,2292,1595
2AE196291EBE13A3E055000000000001,Coolballintaggart,784,3950,2534
2AE196291EBF13A3E055000000000001,Coolboy,487,430,3290
2AE196291ECE13A3E055000000000001,Cronelea,605,1658,2056
2AE196291E5513A3E055000000000001,Kilballyowen,283,3595,2438
2AE196291E6C13A3E055000000000001,Killinure,652,754,211
2AE196291E7913A3E055000000000001,Kilpipe,255,1725,3318
2AE196291E9113A3E055000000000001,Money,893,3467,3973
2AE196291EA713A3E055000000000001,Rath,78,3152,805
2AE196291EB613A3E055000000000001,Shillelagh,198,1350,4108
2AE196291EC413A3E055000000000001,Tinahely,594,3225,1093
2AE19629203413A3E055000000000001,Ennis No. 1 Urban,45,2602,742
2AE196291FFB13A3E055000000000001,Ennis No. 2 Urban,738,2021,4591
2AE19629203513A3E055000000000001,Ennis No. 3 Urban,938,2166,4615
2AE19629203613A3E055000000000001,Ennis No. 4 Urban,955,683,4766
